186,-29,9.57,0
186,-29,9.57,0
65,-49.5,29.7,0
60,-39.6,23.76,0
79,-19.8,11.88,0
66,-121,42.35,0
63,-108.9,65.34,0
57,-19.8,11.88,0
186,-99,59.4,0
33,-26,9.1,0
1,-18,6.3,0
53,-130,49.4,0
5,-39.6,23.76,0
39,-25,0,0
6,-19.8,11.88,0
48,-79.2,47.52,0
11,-29.7,17.82,0
3,-18,6.3,0
14,-69.3,41.58,0
12,46.15,11.54,0
7,17.55,4.39,0
12,94,23.5,1
190,294.75,73.69,0
364,389,97.25,0
29,9.9,5.94,0
28,9.9,5.94,0
153,69.3,41.58,0
28,19.8,11.88,0
54,0,41.58,0
24,89.1,53.46,0
9,25,0,0
12,24,0,0
45,20,0,0
35,27,0,0
28,20,0,0
24,43,0,0
8,78,0,0
183,20,0,0
36,22,0,0
3,27,0,0
38,41,0,0
36,95,0,0
4,20,0,0
3,20,0,0
13,35,0,0
11,43,0,0
27,20,0,0
16,47,0,0
12,29,0,0
39,20,0,0
19,20,0,0
18,30,0,0
189,20,0,0
105,44,0,0
23,57,0,0
57,37,0,0
29,46,0,0
1,10,0,0
15,16,0,0
16,28,0,0
180,21,0,0
90,37,0,0
91,18,0,0
2,14,0,0
17,19,0,0
10,37,0,0
11,10,0,0
279,80,0,0
36,16,0,0
12,39,0,0
18,14,0,0
6,25,0,0
18,10,0,0
2,10,0,0
39,68,0,0
4,17,0,0
38,0,0,0
10,23,0,0
92,80,0,0
22,80,0,0
10,10,0,0
64,10,0,0
7,15,0,0
8,0,0,0
37,30,0,0
2,16,0,0
31,58,0,0
41,20,0,0
6,10,0,0
8,17,0,0
5,37,0,0
126,27,0,0
10,51,0,0
29,13,0,0
50,24,0,0
1,20,0,0
2,26,0,0
1,86,0,0
8,28,0,0
19,20,0,0
24,90,0,0
4,15,6,0
55,21.35,5.98,0
15,6.5,1.82,0
45,26,9.1,0
181,30,10.5,0
5,22,7.7,0
22,18,6.3,0
76,35,12.25,0
41,44,15.4,0
43,22,7.7,0
5,22,7.7,0
56,75.96,26.59,0
3,12.5,4.38,0
3,4.99,1.75,0
20,47,11.75,0
29,27,6.75,0
164,69.55,17.39,0
23,30.55,7.64,0
13,19.5,4.88,0
29,31.85,7.96,0
23,77.35,19.34,0
23,29.7,17.82,0
29,39.6,23.76,0
5,0,29.7,0
26,148.5,89.1,0
26,29.7,17.82,0
152,9.9,5.94,0
48,59.4,35.64,0
30,59.4,35.64,0
9,49.5,29.7,0
32,49.5,29.7,0
4,19.8,11.88,0
111,89.1,53.46,0
34,19.8,11.88,0
19,39.6,23.76,0
20,148.5,89.1,0
201,0,77.22,0
2,9.9,5.94,0
4,20,0,0
13,20,0,0
39,69,0,0
10,20,0,0
